Date,High,Low,Open,Close,Volume,Adj Close,Moving_av,Upper_volatility,Lower_volatility,Increase_in_vol,Increase_in_adj_close,Direction_change_in_adj_close,Short_resistance,Short_support,Long_resistance,Long_support,trend_hit,Dow_jones,snp500,A,AJG,HUM,CPRT,CTAS,BF-B,MKTX,CHD,INFO,APD
2017-05-10,953.75,945.0,953.5,948.9500122070312,2096500,948.9500122070312,948.9500122070312,948.9500122070312,948.9500122070312,0,0.0,1,953.75,945.0,953.75,945.0,55,20943.11,2399.63,54.48150634765625,50.90669250488281,224.7813873291016,30.170000076293945,116.40066528320312,36.70646286010742,183.68035888671875,48.25819778442383,43.05597686767578,132.025390625
2017-05-11,950.2899780273438,940.780029296875,945.1099853515624,947.6199951171876,2194100,947.6199951171876,948.2850036621094,977.4185125732422,920.4815118408203,97600,-1.3300170898436363,0,953.75,940.780029296875,953.75,940.780029296875,55,20919.42,2394.44,54.442787170410156,50.58555221557617,224.71319580078125,29.920000076293945,117.45501708984376,36.97476196289063,183.8462829589844,48.0684585571289,43.05597686767578,130.76194763183594
2017-05-12,962.7899780273438,951.530029296875,954.5,961.3499755859376,3625900,961.3499755859376,952.6399943033853,976.7335537719728,919.836453552246,1431800,13.72998046875,1,962.7899780273438,940.780029296875,962.7899780273438,940.780029296875,55,20896.61,2390.9,54.37500381469727,50.2185173034668,225.9403381347656,29.88999938964844,117.2249755859375,36.66919708251953,181.95248413085938,47.80183792114258,42.8181037902832,130.95281982421878
2017-05-15,963.1500244140624,956.0599975585938,958.72998046875,957.969970703125,4270600,957.969970703125,953.9724884033203,981.2191941324867,924.0607944742841,644700,-3.3800048828126137,0,963.1500244140624,940.780029296875,963.1500244140624,940.780029296875,54,20981.94,2402.32,54.89784240722656,50.64059829711914,225.08331298828125,29.979999542236328,117.29206848144531,36.87042617797852,183.9048767089844,47.84944534301758,43.34341430664063,131.87083435058594
2017-05-16,970.0599975585938,960.9099731445312,961.0,966.0700073242188,3126100,966.0700073242188,956.3919921875,982.5916630554201,925.3533137512208,-1144500,8.10003662109375,1,970.0599975585938,951.530029296875,970.0599975585938,940.780029296875,54,20979.75,2400.67,55.023719787597656,50.75071334838867,220.3013153076172,29.96999931335449,117.4837646484375,37.60828018188477,180.3222503662109,47.11623001098633,43.472267150878906,131.20733642578122
2017-05-17,960.4000244140624,944.1199951171876,954.7000122070312,944.760009765625,5145600,944.760009765625,954.4533284505208,985.083751953125,927.7002324218753,2019500,-21.30999755859375,0,970.0599975585938,944.1199951171876,970.0599975585938,940.780029296875,54,20606.93,2357.03,53.99740600585938,50.42955780029297,219.0547180175781,29.18000030517578,115.18336486816406,38.96473693847656,177.99891662597656,47.335243225097656,42.85774993896485,129.58937072753906
2017-05-18,962.75,944.760009765625,944.7999877929688,958.489990234375,3939300,958.489990234375,955.0299944196428,983.0869283040364,925.8197285970053,-1206300,13.72998046875,1,970.0599975585938,944.1199951171876,970.0599975585938,940.780029296875,54,20663.02,2365.72,54.07485961914063,50.81493377685547,222.8432922363281,29.34000015258789,115.57634735107422,39.18833541870117,177.71580505371094,47.30667495727539,43.72005844116211,129.71664428710938
2017-05-19,968.9199829101562,959.719970703125,962.8400268554688,959.8400268554688,3972100,959.8400268554688,955.6312484741212,983.6808942522322,926.3790945870537,32800,1.35003662109375,1,968.9199829101562,944.1199951171876,970.0599975585938,940.780029296875,54,20804.84,2381.73,54.34596252441406,51.16360473632813,221.947265625,29.309999465942386,115.9980926513672,39.449195861816406,181.9622344970703,47.363807678222656,43.90837478637695,130.07110595703122
2017-05-22,971.3800048828124,962.9000244140624,964.0,970.6699829101562,2642200,970.6699829101562,957.302218967014,984.3001859283447,926.9623110198976,-1329900,10.8299560546875,1,971.3800048828124,944.760009765625,971.3800048828124,944.1199951171876,55,20894.83,2394.02,54.29755020141602,51.631568908691406,224.29443359375,29.70000076293945,116.68821716308594,42.4229736328125,180.98605346679688,47.63043212890625,44.30484008789063,130.26200866699222
2017-05-23,975.2000122070312,966.8499755859376,975.02001953125,971.5399780273438,2415600,971.5399780273438,958.7259948730467,986.0212855360244,928.5831523980033,-226600,0.8699951171875,1,975.2000122070312,959.719970703125,975.2000122070312,944.1199951171876,55,20937.91,2398.42,56.79554748535156,52.0169563293457,223.30101013183602,30.020000457763672,117.31124114990234,39.78458023071289,183.5241851806641,47.90658187866211,44.28501510620117,129.82572937011722
2017-05-24,981.0,970.22998046875,976.0,980.3499755859376,2446000,980.3499755859376,960.6918113014917,987.4877747192382,929.9642150268553,30400,8.809997558593864,1,981.0,962.9000244140624,981.0,944.1199951171876,55,21012.42,2404.39,57.347434997558594,52.15459442138672,225.5702667236328,29.979999542236328,119.51580047607422,40.50007247924805,187.1165313720703,48.30651092529297,44.43369674682617,131.01643371582028
2017-05-25,999.0,982.1099853515624,984.8499755859376,993.3800048828124,4822000,993.3800048828124,963.4158274332683,989.5125656405362,931.8710569624468,2376000,13.030029296874773,1,999.0,966.8499755859376,999.0,944.1199951171876,55,21082.95,2415.07,57.41520309448242,52.806068420410156,226.174072265625,31.40999984741211,120.34011840820312,38.45793914794922,190.90414428710938,48.75406265258789,45.49423599243164,130.99822998046878
2017-05-26,998.6500244140624,989.25,995.0,995.780029296875,3469200,995.780029296875,965.9053814227764,992.3183022562662,934.5133526102702,-1352800,2.4000244140626137,1,999.0,970.22998046875,999.0,944.760009765625,55,21080.28,2415.82,57.61853790283203,52.41150665283203,226.19357299804688,31.04999923706055,119.96630096435548,38.55481719970703,189.5472869873047,48.65883255004883,45.851051330566406,130.80740356445312
2017-05-30,1001.2000122070312,995.52001953125,996.510009765625,996.7000122070312,3263100,996.7000122070312,968.104997907366,994.8825428654598,936.9282199800932,-206100,0.91998291015625,1,1001.2000122070312,982.1099853515624,1001.2000122070312,959.719970703125,55,21029.47,2412.91,58.45119857788086,52.27387237548828,224.36257934570312,30.88999938964844,119.57330322265624,38.35358047485352,186.6577453613281,49.06829071044922,45.870872497558594,130.86190795898438
2017-05-31,1000.1199951171876,982.1599731445312,1000.0,994.6199951171876,3913100,994.6199951171876,969.8726643880208,997.1481478445869,939.0618479701452,650000,-2.0800170898436363,0,1001.2000122070312,982.1599731445312,1001.2000122070312,962.9000244140624,55,21008.65,2411.8,58.422157287597656,52.41246032714844,226.2033233642578,31.190000534057607,120.65641021728516,38.71879959106445,186.0427398681641,49.19208526611328,45.44467163085938,130.9437255859375
2017-06-01,998.989990234375,991.3699951171876,998.5900268554688,995.9500122070312,2454800,995.9500122070312,971.502498626709,998.9688443196616,940.77648445638,-1458300,1.3300170898436363,1,1001.2000122070312,982.1599731445312,1001.2000122070312,966.8499755859376,55,21144.18,2430.06,58.79975509643555,53.08689498901367,228.871826171875,31.790000915527344,121.662841796875,39.51838302612305,187.39964294433602,49.75390243530274,46.197959899902344,131.87083435058594
2017-06-02,1008.47998046875,995.6699829101562,998.989990234375,1006.72998046875,3752300,1006.72998046875,973.5747034409468,1000.6475735855104,942.3574236679076,1297500,10.77996826171875,1,1008.47998046875,982.1599731445312,1008.47998046875,970.22998046875,55,21206.29,2439.07,58.87721252441406,53.34735870361328,228.1024475097656,31.71999931335449,122.95682525634766,39.33123016357422,187.0384521484375,50.05861282348633,46.64397811889648,133.42515563964844
