Date,High,Low,Open,Close,Volume,Adj Close,Moving_av,Upper_volatility,Lower_volatility,Increase_in_vol,Increase_in_adj_close,Direction_change_in_adj_close,Short_resistance,Short_support,Long_resistance,Long_support,trend_hit,Dow_jones,snp500
2017-05-10,953.75,945.0,953.5,948.9500122070312,2096500,948.9500122070312,948.9500122070312,948.9500122070312,948.9500122070312,0,0.0,1,953.75,945.0,953.75,945.0,55,20943.11,2399.63
2017-05-11,950.2899780273438,940.780029296875,945.1099853515624,947.6199951171876,2194100,947.6199951171876,948.2850036621094,977.4185125732422,920.4815118408203,97600,-1.3300170898436363,0,953.75,940.780029296875,953.75,940.780029296875,55,20919.42,2394.44
2017-05-12,962.7899780273438,951.530029296875,954.5,961.3499755859376,3625900,961.3499755859376,952.6399943033853,976.7335537719728,919.836453552246,1431800,13.72998046875,1,962.7899780273438,940.780029296875,962.7899780273438,940.780029296875,55,20896.61,2390.9
2017-05-15,963.1500244140624,956.0599975585938,958.72998046875,957.969970703125,4270600,957.969970703125,953.9724884033203,981.2191941324867,924.0607944742841,644700,-3.3800048828126137,0,963.1500244140624,940.780029296875,963.1500244140624,940.780029296875,54,20981.94,2402.32
2017-05-16,970.0599975585938,960.9099731445312,961.0,966.0700073242188,3126100,966.0700073242188,956.3919921875,982.5916630554201,925.3533137512208,-1144500,8.10003662109375,1,970.0599975585938,951.530029296875,970.0599975585938,940.780029296875,54,20979.75,2400.67
2017-05-17,960.4000244140624,944.1199951171876,954.7000122070312,944.760009765625,5145600,944.760009765625,954.4533284505208,985.083751953125,927.7002324218753,2019500,-21.30999755859375,0,970.0599975585938,944.1199951171876,970.0599975585938,940.780029296875,54,20606.93,2357.03
2017-05-18,962.75,944.760009765625,944.7999877929688,958.489990234375,3939300,958.489990234375,955.0299944196428,983.0869283040364,925.8197285970053,-1206300,13.72998046875,1,970.0599975585938,944.1199951171876,970.0599975585938,940.780029296875,54,20663.02,2365.72
2017-05-19,968.9199829101562,959.719970703125,962.8400268554688,959.8400268554688,3972100,959.8400268554688,955.6312484741212,983.6808942522322,926.3790945870537,32800,1.35003662109375,1,968.9199829101562,944.1199951171876,970.0599975585938,940.780029296875,54,20804.84,2381.73
2017-05-22,971.3800048828124,962.9000244140624,964.0,970.6699829101562,2642200,970.6699829101562,957.302218967014,984.3001859283447,926.9623110198976,-1329900,10.8299560546875,1,971.3800048828124,944.760009765625,971.3800048828124,944.1199951171876,55,20894.83,2394.02
2017-05-23,975.2000122070312,966.8499755859376,975.02001953125,971.5399780273438,2415600,971.5399780273438,958.7259948730467,986.0212855360244,928.5831523980033,-226600,0.8699951171875,1,975.2000122070312,959.719970703125,975.2000122070312,944.1199951171876,55,20937.91,2398.42
2017-05-24,981.0,970.22998046875,976.0,980.3499755859376,2446000,980.3499755859376,960.6918113014917,987.4877747192382,929.9642150268553,30400,8.809997558593864,1,981.0,962.9000244140624,981.0,944.1199951171876,55,21012.42,2404.39
2017-05-25,999.0,982.1099853515624,984.8499755859376,993.3800048828124,4822000,993.3800048828124,963.4158274332683,989.5125656405362,931.8710569624468,2376000,13.030029296874773,1,999.0,966.8499755859376,999.0,944.1199951171876,55,21082.95,2415.07
2017-05-26,998.6500244140624,989.25,995.0,995.780029296875,3469200,995.780029296875,965.9053814227764,992.3183022562662,934.5133526102702,-1352800,2.4000244140626137,1,999.0,970.22998046875,999.0,944.760009765625,55,21080.28,2415.82
2017-05-30,1001.2000122070312,995.52001953125,996.510009765625,996.7000122070312,3263100,996.7000122070312,968.104997907366,994.8825428654598,936.9282199800932,-206100,0.91998291015625,1,1001.2000122070312,982.1099853515624,1001.2000122070312,959.719970703125,55,21029.47,2412.91
2017-05-31,1000.1199951171876,982.1599731445312,1000.0,994.6199951171876,3913100,994.6199951171876,969.8726643880208,997.1481478445869,939.0618479701452,650000,-2.0800170898436363,0,1001.2000122070312,982.1599731445312,1001.2000122070312,962.9000244140624,55,21008.65,2411.8
2017-06-01,998.989990234375,991.3699951171876,998.5900268554688,995.9500122070312,2454800,995.9500122070312,971.502498626709,998.9688443196616,940.77648445638,-1458300,1.3300170898436363,1,1001.2000122070312,982.1599731445312,1001.2000122070312,966.8499755859376,55,21144.18,2430.06
2017-06-02,1008.47998046875,995.6699829101562,998.989990234375,1006.72998046875,3752300,1006.72998046875,973.5747034409468,1000.6475735855104,942.3574236679076,1297500,10.77996826171875,1,1008.47998046875,982.1599731445312,1008.47998046875,970.22998046875,55,21206.29,2439.07
2017-06-05,1013.2100219726562,1003.510009765625,1007.22998046875,1011.3400268554688,2719900,1011.3400268554688,975.6727769639757,1002.7819445441753,944.3674623377184,-1032400,4.61004638671875,1,1013.2100219726562,991.3699951171876,1013.2100219726562,982.1099853515624,57,21184.04,2436.1
2017-06-06,1016.5,1001.25,1012.0,1003.0,3346400,1003.0,977.1110518606083,1004.9429602728951,946.4025936550563,626500,-8.34002685546875,0,1016.5,995.6699829101562,1016.5,982.1599731445312,57,21136.23,2429.33
2017-06-07,1010.25,1002.0,1005.9500122070312,1010.0700073242188,2823000,1010.0700073242188,978.758999633789,1006.4243834164267,947.7977203047902,-523400,7.07000732421875,1,1016.5,1001.25,1016.5,982.1599731445312,57,21173.69,2433.14
